ID,Phrase,Sentiment
1,The plaintiff's claims are dismissed.,-1
2,The contract is deemed valid and enforceable.,1
3,The appeal is denied due to lack of merit.,-1
4,The legal team submitted additional evidence.,0
5,The appeal is under consideration.,0
6,The settlement agreement is fair and reasonable.,1
7,The appeal is under consideration.,0
8,The settlement agreement is fair and reasonable.,1
9,The court reviewed the documentation.,0
10,The contract is deemed valid and enforceable.,1
11,The contract is deemed valid and enforceable.,1
12,The legal team submitted additional evidence.,0
13,The court reviewed the documentation.,0
14,The court reviewed the documentation.,0
15,The court reviewed the documentation.,0
16,The contract is declared void.,-1
17,The appeal is denied due to lack of merit.,-1
18,The motion to dismiss is granted.,1
19,The defendant is found guilty.,-1
20,The hearing is scheduled for next month.,0
21,The settlement agreement is fair and reasonable.,1
22,The settlement agreement is fair and reasonable.,1
23,The court reviewed the documentation.,0
24,The plaintiff's claims are dismissed.,-1
25,The plaintiff's claims are dismissed.,-1
26,The settlement agreement is fair and reasonable.,1
27,The defendant is found guilty.,-1
28,The court finds in favor of the plaintiff.,1
29,The court reviewed the documentation.,0
30,The settlement agreement is fair and reasonable.,1
31,The motion is denied by the court.,-1
32,The legal team submitted additional evidence.,0
33,The appeal is denied due to lack of merit.,-1
34,The defendant is acquitted of all charges.,1
35,The settlement agreement is fair and reasonable.,1
36,The contract is declared void.,-1
37,The court reviewed the documentation.,0
38,The legal team submitted additional evidence.,0
39,The appeal is denied due to lack of merit.,-1
40,The contract is declared void.,-1
41,The legal team submitted additional evidence.,0
42,The plaintiff's claims are dismissed.,-1
43,The appeal is denied due to lack of merit.,-1
44,The hearing is scheduled for next month.,0
45,The legal team submitted additional evidence.,0
46,The motion to dismiss is granted.,1
47,The appeal is under consideration.,0
48,The contract is deemed valid and enforceable.,1
49,The legal team submitted additional evidence.,0
50,The motion is denied by the court.,-1
51,The defendant is found guilty.,-1
52,The defendant is acquitted of all charges.,1
53,The defendant is acquitted of all charges.,1
54,The contract is declared void.,-1
55,The plaintiff's claims are dismissed.,-1
56,The hearing is scheduled for next month.,0
57,The appeal is denied due to lack of merit.,-1
58,The plaintiff's claims are dismissed.,-1
59,The case was transferred to another jurisdiction.,0
60,The plaintiff's claims are dismissed.,-1
61,The plaintiff's claims are dismissed.,-1
62,The case was transferred to another jurisdiction.,0
63,The court finds in favor of the plaintiff.,1
64,The motion to dismiss is granted.,1
65,The hearing is scheduled for next month.,0
66,The defendant is found guilty.,-1
67,The plaintiff's claims are dismissed.,-1
68,The appeal is under consideration.,0
69,The motion to dismiss is granted.,1
70,The defendant is found guilty.,-1
71,The motion is denied by the court.,-1
72,The contract is deemed valid and enforceable.,1
73,The court finds in favor of the plaintiff.,1
74,The plaintiff's claims are dismissed.,-1
75,The motion to dismiss is granted.,1
76,The motion to dismiss is granted.,1
77,The contract is declared void.,-1
78,The plaintiff's claims are dismissed.,-1
79,The defendant is found guilty.,-1
80,The appeal is under consideration.,0
81,The appeal is denied due to lack of merit.,-1
82,The court reviewed the documentation.,0
83,The court finds in favor of the plaintiff.,1
84,The settlement agreement is fair and reasonable.,1
85,The plaintiff's claims are dismissed.,-1
